timestamp,pitch,roll,yaw,heading,longitude,latitude,voltage,temperature,questNo,setPoint,currentSpeed
Timestamp,PacketCount,RemoteActive,Failsafe,GpsTime,Latitude,Longitude,SIV,Pitch,YawDeg,Roll,BnoHeading,HeadingRequest,LinX,LinY,LinZ,BatteryVoltage,LeftPWM,RightPWM,CurrentSpeed,SetPoint,BuoyColor,StageState,SpecialMessage
2025-08-28T13:03:09.308,3895,0,0,13:03:09,39.8059,32.7018,11,-9.57,119,3.58,204.45,27.48,-0.97,0.88,0.23,11.42,1656,1235,1.88,1.14,green,1,GPS_ERR
2025-08-28T13:03:10.277,4741,0,1,13:03:10,39.8054,32.7026,8,14.53,188.34,10.08,124.28,346.69,0.21,0.67,0.74,12.19,1415,1335,1.19,1.93,black,2,GPS_ERR
2025-08-28T13:03:11.274,1721,0,1,13:03:11,39.8042,32.7005,14,8.65,89.01,-16.92,92.56,142.98,-0.66,-0.52,-0.48,11.64,1525,1827,0.13,0.22,green,2,CANCEL
2025-08-28T13:03:12.275,9761,0,1,13:03:12,39.8058,32.705,14,-18.29,124.29,9.36,315.04,171.3,0.61,0.49,-0.65,10.93,1567,1261,1.52,1.74,black,1,GPS_ERR
2025-08-28T13:03:13.278,6994,1,1,13:03:13,39.8087,32.7093,13,-9.36,226.09,1.58,298.86,247.49,0.94,-0.37,-0.71,10.88,1310,1540,0.71,0.17,red,5,GOTO1
2025-08-28T13:03:15.033,9942,1,1,13:03:14,39.8011,32.7058,9,-4.64,326.41,15.17,257.87,195.89,0.43,-0.37,-0.28,10.54,1699,1179,0.1,0.89,green,4,ARR1
2025-08-28T13:03:15.278,6020,1,1,13:03:15,39.8086,32.7063,8,-9.03,170.12,-7.5,130.82,245.01,0.24,-0.74,0.71,12.49,1896,1129,1.69,1.34,red,5,GOTO1
2025-08-28T13:03:16.281,2526,0,1,13:03:16,39.8053,32.7067,7,16.08,293.86,18.79,50.17,45.07,-0.91,-0.51,-0.27,12.11,1142,1528,1.42,0.69,green,0,GOTO1
2025-08-28T13:03:17.282,583,0,0,13:03:17,39.8044,32.708,10,-7.4,39.83,2.42,91.71,56.14,-0.39,0.32,-0.83,11.34,1328,1180,0.51,0.73,red,3,FINISH
2025-08-28T13:03:18.283,6349,1,0,13:03:18,39.8046,32.7099,12,-14.87,146.52,-3.83,41.28,239.64,-0.17,-0.3,-0.66,10.85,1425,1726,0.9,1.65,black,4,CANCEL
2025-08-28T13:03:19.287,5487,0,0,13:03:19,39.8005,32.7065,6,-10.42,20.05,3.73,343.28,192.36,0.44,-0.14,-0.18,10.81,1588,1491,0.07,1.37,black,2,ARR1
2025-08-28T13:03:20.351,5467,1,1,13:03:20,39.8033,32.7068,7,-5.41,56.52,-19.17,324.91,183.73,0.81,0.59,-0.03,11.74,1346,1848,0.13,0.82,green,4,FINISH
