timestamp,pitch,roll,yaw,heading,longitude,latitude,voltage,temperature,questNo,setPoint,currentSpeed
2025-07-18T00:08:44.628,0.09,-0.19,0.87,268.67,32.8675,39.9462,12.55,24.1,1,0.69,0.23
2025-07-18T00:08:44.641,0.62,0.85,-0.4,10.96,32.8754,39.9161,12.5,20.8,2,0.42,0.5
2025-07-18T00:08:45.633,-0.95,0.93,0.8,63.62,32.8614,39.9476,12.23,25.5,5,0.1,0.64
2025-07-18T00:08:46.640,-0.61,-0.68,0.49,6.02,32.8715,39.9069,12.17,17.1,4,0.15,0.21
2025-07-18T00:08:47.651,-0.98,0.25,0.63,16.73,32.8649,39.9016,12.33,15.4,5,0.63,0.96
2025-07-18T00:08:48.658,-0.85,0.01,-0.15,296.73,32.8889,39.9104,12.7,28,2,0.6,0.33
2025-07-18T00:08:49.678,0.72,-0.34,-0.92,259.95,32.8653,39.9497,11.77,26.5,5,0.97,0.66
2025-07-18T00:08:50.685,-0.31,0.72,0.94,224.53,32.8703,39.9238,11.5,28.1,5,0.39,0.84
2025-07-18T00:08:51.695,0.74,0.49,-0.59,6.43,32.8662,39.9404,11.88,28.6,2,0.05,0.24
2025-07-18T00:08:52.703,0.98,-0.35,-0.4,291.62,32.8568,39.9116,12.05,15.5,2,0.18,0.65
2025-07-18T00:08:53.713,-0.31,0.95,-0.16,277.17,32.8512,39.9486,12.18,15.9,5,0.44,0.35
2025-07-18T00:08:54.723,0.16,0.04,0,96.55,32.8567,39.9198,12.43,24.9,2,0.58,0.8
2025-07-18T00:08:55.733,-0.56,0.3,0.7,337.39,32.8875,39.9147,12.73,16.6,3,0.82,0.61
2025-07-18T00:08:56.740,-0.14,0.92,-0.6,193.55,32.8788,39.945,12.32,29.9,1,0.94,0.23
2025-07-18T00:08:57.754,-0.54,-0.89,0.53,321.53,32.8975,39.9228,12,28.9,3,0.15,0.34
2025-07-18T00:08:58.765,-0.82,0.01,-0.42,121.5,32.8899,39.9436,12.71,23.8,2,0.81,0.2
2025-07-18T00:08:59.783,0.48,0.06,0.03,245.8,32.8844,39.9104,12.76,26.4,1,0.82,0.77
2025-07-18T00:09:00.797,0.94,0.63,-0.54,110.35,32.8687,39.9122,12.51,18.7,3,0.12,0.25
2025-07-18T00:09:01.813,0.09,0.09,0.73,356.81,32.8774,39.9187,12.75,16.4,4,0.44,0.02
2025-07-18T00:09:02.828,0.86,0.26,-0.12,158.03,32.8856,39.9291,11.53,28.9,1,0.13,0.43
2025-07-18T00:09:03.841,-0.06,-0.27,0.81,353.13,32.8857,39.9238,12.65,26.6,3,0.48,0.03
2025-07-18T00:09:04.858,-0.3,-0.01,-0.16,227.07,32.8735,39.9084,12.23,25.4,2,0.6,0.6
2025-07-18T00:09:05.865,0.59,-0.3,0.68,354.43,32.892,39.9202,11.83,26.6,3,0.1,0.2
2025-07-18T00:09:06.875,0.4,-0.85,-0.59,30.43,32.8739,39.9404,12.47,26,3,0.29,0.09
2025-07-18T00:09:07.883,0.77,-0.53,0.85,64.4,32.8748,39.9466,12.44,27.2,1,0.14,0.21
2025-07-18T00:09:08.895,-0.11,0.32,-0.89,135.76,32.8682,39.9236,12.53,18.4,2,0.38,0.85
2025-07-18T00:09:09.901,0.01,0.53,0.16,138.39,32.8975,39.9423,11.98,19.3,5,0.5,0.49
2025-07-18T00:09:10.910,0.65,0.81,0.87,194.25,32.875,39.9446,11.64,26.9,4,0.34,0.68
2025-07-18T00:09:11.918,0.38,-0.23,0.6,334.37,32.8589,39.9208,12.39,25.7,4,0.13,0.56
2025-07-18T00:09:12.926,0.27,-0.5,-0.28,74.1,32.8648,39.9379,12.37,22.1,1,0.67,0.81
2025-07-18T00:09:13.938,-0.1,0.59,-0.59,328.05,32.88,39.916,12.54,26.3,4,0.08,0.51
2025-07-18T00:09:14.948,-0.74,-0.55,0.35,281.69,32.8788,39.9386,12.18,16.8,3,0.85,0.42
2025-07-18T00:09:15.956,-0.43,0.89,0.36,225.89,32.8574,39.9252,12.41,28.6,5,0.8,0.58
2025-07-18T00:09:16.967,-0.93,-0.5,0.12,9.87,32.859,39.9289,11.84,24.5,5,0.28,0.78
2025-07-18T00:09:17.976,-0.64,-0.94,-0.78,338.47,32.883,39.9156,11.69,20.7,1,0.25,0.4
2025-07-18T00:09:18.987,0.33,0.63,-0.82,345.01,32.8655,39.9072,12.74,15,1,0.77,0.51
2025-07-18T00:09:20.001,0.31,-0.68,-0.78,13.5,32.8879,39.9421,11.52,19.5,5,0.74,0.5
2025-07-18T00:09:21.013,-0.15,0.75,0.22,204.45,32.8912,39.9475,12.04,22.7,1,0.04,0.78
2025-07-18T00:09:22.026,1,-0.66,0.02,274.93,32.8978,39.9325,12.11,28.8,4,0.21,0.16
2025-07-18T00:09:23.040,-0.43,0.97,-0.5,141.15,32.8909,39.9325,12.51,17.7,5,0.79,0.14
2025-07-18T00:09:24.051,0.17,-0.9,-0.73,188.79,32.8847,39.9454,12.79,19.5,2,0.77,0.82
