timestamp,pitch,roll,yaw,heading,longitude,latitude,voltage,temperature,questNo,setPoint,currentSpeed
2025-07-19T21:26:31.137,0.72,-0.29,4.58,236.95,32.8837,39.9094,12.7,28.9,2,0.82,0.6
2025-07-19T21:26:31.148,-0.13,23.01,0.48,83.66,32.8936,39.9023,12.57,28.5,2,0.69,0.13
2025-07-19T21:26:32.155,-11.65,16.19,-4.27,180.67,32.8501,39.9467,12.54,19.6,4,0.78,0.74
2025-07-19T21:26:33.159,-2.29,24.74,-4.25,296.95,32.8747,39.9283,11.86,25.5,3,0.4,0.36
2025-07-19T21:26:34.168,5.84,4.53,0,119.09,32.8677,39.9196,12.76,21.6,5,0.69,0.07
2025-07-19T21:26:35.184,8.51,26.01,0.08,186.56,32.8798,39.9059,12.16,24.1,5,0.94,0
2025-07-19T21:26:36.197,3.22,16.67,-1.27,86.09,32.8567,39.9152,11.96,24.6,3,0.24,0.23
2025-07-19T21:26:37.211,13.31,1.18,-2.27,48.66,32.8519,39.9274,12.42,20.8,3,0.92,0.8
2025-07-19T21:26:38.226,-8.1,22.15,0.19,164.68,32.8622,39.9159,12.44,17.3,2,0.39,0.41
2025-07-19T21:26:39.239,2.57,-20.78,-4.13,284.05,32.8944,39.909,11.57,27.4,2,0.46,0.06
2025-07-19T21:26:40.255,-4.84,-27.61,2.17,65.09,32.8967,39.9018,12.58,24.5,5,0.48,0.25
2025-07-19T21:26:41.271,12.22,27.12,-0.65,28.87,32.8617,39.9286,12.45,26.8,4,0.89,0.14
2025-07-19T21:26:42.285,-14.48,15.06,2.45,355.85,32.8501,39.9382,12.68,28,4,0.67,0.01
2025-07-19T21:26:43.297,-0.33,5.74,4.68,295.25,32.8643,39.9064,11.94,28.8,5,0.68,0.95
2025-07-19T21:26:44.313,1.27,-1.34,-2.45,271.5,32.8634,39.9294,12.12,21.7,1,0.66,0.18
2025-07-19T21:26:45.330,-11.34,21.78,1.58,90.75,32.8908,39.9006,12,16.9,5,0.35,0.07
2025-07-19T21:26:46.343,-5.86,7.95,2.73,345.68,32.8537,39.9288,11.86,24.6,5,0.88,0.42
2025-07-19T21:26:47.360,-11.99,19.81,-4.65,204.86,32.8642,39.9361,12.44,22.4,1,0.13,0.49
2025-07-19T21:26:48.372,-10.68,22.95,-1.41,292.62,32.8659,39.9479,11.52,18.4,3,0.92,0.07
2025-07-19T21:26:49.387,3.08,-10.81,-0.67,324.58,32.858,39.9296,11.65,27.1,4,0.03,0.53
2025-07-19T21:26:50.401,11.28,23.75,-4.64,169.47,32.8519,39.926,12.34,29.2,5,0.74,0.47
2025-07-19T21:26:51.412,13.74,-18.91,4.19,309.73,32.8868,39.939,11.9,18.6,5,0.93,0.16
2025-07-19T21:26:52.427,-12.26,-15.11,-0.36,306.17,32.8708,39.9289,12.25,26.1,2,0.03,0.45
2025-07-19T21:26:53.443,2.96,-9.96,-1.76,221.15,32.8845,39.9198,11.57,21,1,0.57,0.35
2025-07-19T21:26:54.457,10,4.42,-1.86,341.13,32.8696,39.933,11.53,29.2,2,0,0.18
2025-07-19T21:26:55.476,5.76,20.39,1.53,72.93,32.8658,39.9037,12.76,17,1,0.87,0.02
2025-07-19T21:26:56.491,4.16,-18.38,-4.54,304.42,32.8814,39.9155,12.46,23.6,5,0.06,0.99
2025-07-19T21:26:57.506,-14.27,5.81,0.85,65.23,32.852,39.9217,12.1,20.2,1,0.36,0.17
